Disease Name,Severity Level,Symptoms,Recommended Medications,Required Food,Safety Precautions,Recommended Doctor,Treatment Plan,Follow-Up Recommendations,Patient Education,Recovery Time
Breast Cancer,Mild to Severe,"{'Early': 'Lump in the breast, changes in breast shape or size.', 'Progressing': 'Nipple discharge, skin changes, swelling.', 'Severe': 'Metastasis to other organs, severe pain, significant weight loss.'}","{'First-Line': 'Chemotherapy (e.g., Doxorubicin, Cyclophosphamide), hormone therapy (e.g., Tamoxifen).', 'Alternative': 'Targeted therapies (e.g., Herceptin), immunotherapy.'}","{'Balanced Diet': 'Nutrient-dense foods to support overall health.', 'Anti-Cancer Foods': 'Foods rich in antioxidants, such as fruits and vegetables.'}","{'Early Detection': 'Regular mammograms and self-exams.', 'Avoid Risk Factors': 'Manage risk factors such as smoking and alcohol consumption.'}","{'Primary Specialist': 'Oncologist.', 'Additional Specialists': 'Radiologist for imaging, Surgeon for tumor removal.'}","{'Initial Care': 'Surgery, chemotherapy, or hormone therapy depending on the stage.', 'Ongoing Care': 'Regular follow-ups for monitoring and adjusting treatment.', 'Hospitalization': 'Required for surgery and severe cases.'}","{'Monitoring': 'Regular check-ups and imaging studies.', 'Additional Tests': 'Biopsy, MRI, or CT scans if needed.'}","{'Cancer Management': 'Understanding treatment options and side effects.', 'Lifestyle Adjustments': 'Importance of a healthy diet and exercise.'}",Varies depending on stage and treatment response.
Lung Cancer,Mild to Severe,"{'Early': 'Persistent cough, shortness of breath.', 'Progressing': 'Chest pain, coughing up blood, weight loss.', 'Severe': 'Metastasis to other organs, severe respiratory distress.'}","{'First-Line': 'Chemotherapy (e.g., Cisplatin, Carboplatin), targeted therapies (e.g., Erlotinib).', 'Alternative': 'Immunotherapy (e.g., Pembrolizumab), radiation therapy.'}","{'Balanced Diet': 'High in protein and essential nutrients.', 'Anti-Cancer Foods': 'Foods rich in antioxidants and anti-inflammatory properties.'}","{'Avoid Smoking': 'Primary risk factor for lung cancer.', 'Early Detection': 'Regular screenings if at high risk.'}","{'Primary Specialist': 'Oncologist.', 'Additional Specialists': 'Pulmonologist for lung function, Radiologist for imaging.'}","{'Initial Care': 'Surgery, chemotherapy, or targeted therapy depending on the stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for surgery and severe complications.'}","{'Monitoring': 'Regular imaging studies and health assessments.', 'Additional Tests': 'Bronchoscopy, PET scans if needed.'}","{'Cancer Management': 'Understanding treatment options and lifestyle changes.', 'Lifestyle Adjustments': 'Importance of quitting smoking and maintaining a healthy lifestyle.'}",Varies depending on stage and treatment.
Prostate Cancer,Mild to Severe,"{'Early': 'Frequent urination, difficulty starting urination.', 'Progressing': 'Painful urination, blood in urine, pelvic pain.', 'Severe': 'Metastasis to bones or other organs, severe pain.'}","{'First-Line': 'Hormone therapy (e.g., Luteinizing hormone-releasing hormone agonists), chemotherapy (e.g., Docetaxel).', 'Alternative': 'Targeted therapies (e.g., Abiraterone), radiation therapy.'}","{'Balanced Diet': 'Rich in fruits, vegetables, and whole grains.', 'Anti-Cancer Foods': 'Foods high in lycopene (e.g., tomatoes) and omega-3 fatty acids.'}","{'Early Screening': 'Regular prostate-specific antigen (PSA) tests.', 'Manage Risk Factors': 'Healthy diet and lifestyle.'}","{'Primary Specialist': 'Urologist or Oncologist.', 'Additional Specialists': 'Radiologist for imaging, Surgeon for tumor removal.'}","{'Initial Care': 'Hormone therapy, surgery, or radiation therapy depending on stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for surgery and severe cases.'}","{'Monitoring': 'Regular PSA tests and imaging studies.', 'Additional Tests': 'Biopsy, MRI, or CT scans if needed.'}","{'Cancer Management': 'Understanding treatment options and side effects.', 'Lifestyle Adjustments': 'Importance of regular exercise and a healthy diet.'}",Varies depending on treatment and disease stage.
Colorectal Cancer,Mild to Severe,"{'Early': 'Change in bowel habits, blood in stool.', 'Progressing': 'Abdominal pain, unintended weight loss, fatigue.', 'Severe': 'Metastasis to liver or other organs, severe abdominal pain.'}","{'First-Line': 'Chemotherapy (e.g., 5-Fluorouracil, Oxaliplatin), targeted therapies (e.g., Bevacizumab).', 'Alternative': 'Radiation therapy, immunotherapy (e.g., Pembrolizumab).'}","{'Balanced Diet': 'High in fiber and low in red or processed meats.', 'Anti-Cancer Foods': 'Fruits, vegetables, and whole grains.'}","{'Early Detection': 'Regular colonoscopies starting at age 45 or earlier if at high risk.', 'Manage Risk Factors': 'Healthy diet and lifestyle.'}","{'Primary Specialist': 'Oncologist or Gastroenterologist.', 'Additional Specialists': 'Surgeon for tumor removal, Radiologist for imaging.'}","{'Initial Care': 'Surgery, chemotherapy, or radiation therapy depending on stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for surgery and severe cases.'}","{'Monitoring': 'Regular colonoscopies and imaging studies.', 'Additional Tests': 'CT scans, PET scans if needed.'}","{'Cancer Management': 'Understanding treatment options and lifestyle changes.', 'Lifestyle Adjustments': 'Importance of dietary changes and regular exercise.'}",Varies depending on stage and treatment.
Skin Cancer,Mild to Severe,"{'Early': 'Changes in skin appearance, new or changing moles.', 'Progressing': 'Bleeding or oozing from a mole, itching or tenderness.', 'Severe': 'Metastasis to lymph nodes or other organs, severe skin lesions.'}","{'First-Line': 'Surgery, topical chemotherapy (e.g., 5-Fluorouracil).', 'Alternative': 'Targeted therapies (e.g., Vemurafenib), immunotherapy (e.g., Ipilimumab).'}","{'Balanced Diet': 'Include foods rich in vitamins A, C, and E to support skin health.', 'Anti-Cancer Foods': 'Fruits, vegetables, and foods high in antioxidants.'}","{'Sun Protection': 'Use sunscreen, wear protective clothing, and avoid excessive sun exposure.', 'Regular Skin Checks': 'Self-exams and professional skin evaluations.'}","{'Primary Specialist': 'Dermatologist.', 'Additional Specialists': 'Oncologist for advanced cases.'}","{'Initial Care': 'Surgical removal of tumors, topical treatments.', 'Ongoing Care': 'Regular skin checks and follow-ups.', 'Hospitalization': 'Required for severe cases or surgery.'}","{'Monitoring': 'Regular skin exams and imaging studies if needed.', 'Additional Tests': 'Biopsy, CT scans if needed.'}","{'Cancer Management': 'Understanding treatment options and preventive measures.', 'Lifestyle Adjustments': 'Importance of sun protection and regular skin evaluations.'}",Varies depending on treatment and disease stage.
Ovarian Cancer,Mild to Severe,"{'Early': 'Bloating, pelvic or abdominal pain.', 'Progressing': 'Difficulty eating, urinary symptoms, fatigue.', 'Severe': 'Metastasis to other organs, severe abdominal pain.'}","{'First-Line': 'Chemotherapy (e.g., Carboplatin, Paclitaxel), targeted therapies (e.g., Bevacizumab).', 'Alternative': 'Hormone therapy, immunotherapy.'}","{'Balanced Diet': 'High in fiber and low in processed foods.', 'Anti-Cancer Foods': 'Fruits, vegetables, and whole grains.'}","{'Early Detection': 'Regular pelvic exams and screenings for high-risk individuals.', 'Manage Risk Factors': 'Healthy diet and lifestyle.'}","{'Primary Specialist': 'Oncologist or Gynecologist.', 'Additional Specialists': 'Radiologist for imaging, Surgeon for tumor removal.'}","{'Initial Care': 'Surgery, chemotherapy, or targeted therapy depending on stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for surgery and severe cases.'}","{'Monitoring': 'Regular imaging studies and health assessments.', 'Additional Tests': 'CT scans, PET scans if needed.'}","{'Cancer Management': 'Understanding treatment options and lifestyle changes.', 'Lifestyle Adjustments': 'Importance of a healthy diet and regular exercise.'}",Varies depending on stage and treatment.
Pancreatic Cancer,Mild to Severe,"{'Early': 'Abdominal pain, weight loss.', 'Progressing': 'Jaundice, loss of appetite, fatigue.', 'Severe': 'Metastasis to liver or other organs, severe abdominal pain.'}","{'First-Line': 'Chemotherapy (e.g., Gemcitabine, Nab-paclitaxel), targeted therapies (e.g., Erlotinib).', 'Alternative': 'Radiation therapy, immunotherapy.'}","{'Balanced Diet': 'High in protein and nutrients to support health.', 'Anti-Cancer Foods': 'Foods rich in antioxidants and anti-inflammatory properties.'}","{'Early Detection': 'Regular screening if at high risk, such as family history.', 'Manage Risk Factors': 'Healthy diet and lifestyle.'}","{'Primary Specialist': 'Oncologist or Gastroenterologist.', 'Additional Specialists': 'Surgeon for tumor removal, Radiologist for imaging.'}","{'Initial Care': 'Surgery, chemotherapy, or targeted therapy depending on stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for surgery and severe complications.'}","{'Monitoring': 'Regular imaging studies and health assessments.', 'Additional Tests': 'CT scans, PET scans if needed.'}","{'Cancer Management': 'Understanding treatment options and side effects.', 'Lifestyle Adjustments': 'Importance of a healthy diet and regular exercise.'}",Varies depending on stage and treatment.
Kidney Cancer,Mild to Severe,"{'Early': 'Blood in urine, flank pain.', 'Progressing': 'Abdominal mass, weight loss, fever.', 'Severe': 'Metastasis to other organs, severe pain.'}","{'First-Line': 'Surgery, targeted therapies (e.g., Sunitinib, Pazopanib).', 'Alternative': 'Immunotherapy (e.g., Nivolumab), radiation therapy.'}","{'Balanced Diet': 'High in nutrients to support overall health.', 'Anti-Cancer Foods': 'Fruits, vegetables, and foods rich in antioxidants.'}","{'Early Detection': 'Regular check-ups if at high risk.', 'Manage Risk Factors': 'Healthy lifestyle and regular monitoring.'}","{'Primary Specialist': 'Oncologist or Urologist.', 'Additional Specialists': 'Surgeon for tumor removal, Radiologist for imaging.'}","{'Initial Care': 'Surgery, targeted therapy, or immunotherapy depending on stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for surgery and severe cases.'}","{'Monitoring': 'Regular imaging studies and health assessments.', 'Additional Tests': 'CT scans, PET scans if needed.'}","{'Cancer Management': 'Understanding treatment options and lifestyle changes.', 'Lifestyle Adjustments': 'Importance of maintaining a healthy diet and exercise.'}",Varies depending on stage and treatment.
Bladder Cancer,Mild to Severe,"{'Early': 'Blood in urine, frequent urination.', 'Progressing': 'Pelvic pain, difficulty urinating, weight loss.', 'Severe': 'Metastasis to lymph nodes or other organs, severe pain.'}","{'First-Line': 'Chemotherapy (e.g., Mitomycin C, Gemcitabine), immunotherapy (e.g., BCG therapy).', 'Alternative': 'Targeted therapies (e.g., Atezolizumab), radiation therapy.'}","{'Balanced Diet': 'Include nutrients to support overall health.', 'Anti-Cancer Foods': 'Foods high in antioxidants and anti-inflammatory properties.'}","{'Early Detection': 'Regular screenings for high-risk individuals.', 'Manage Risk Factors': 'Healthy diet and lifestyle.'}","{'Primary Specialist': 'Urologist or Oncologist.', 'Additional Specialists': 'Radiologist for imaging, Surgeon for tumor removal.'}","{'Initial Care': 'Surgery, chemotherapy, or immunotherapy depending on stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for surgery and severe cases.'}","{'Monitoring': 'Regular imaging studies and urine tests.', 'Additional Tests': 'CT scans, MRI if needed.'}","{'Cancer Management': 'Understanding treatment options and side effects.', 'Lifestyle Adjustments': 'Importance of a healthy diet and regular exercise.'}",Varies depending on treatment and disease stage.
Hodgkin's Lymphoma,Mild to Severe,"{'Early': 'Painless swelling of lymph nodes, fever.', 'Progressing': 'Night sweats, weight loss, itching.', 'Severe': 'Metastasis to other organs, severe systemic symptoms.'}","{'First-Line': 'Chemotherapy (e.g., ABVD regimen), radiation therapy.', 'Alternative': 'Targeted therapies (e.g., Brentuximab vedotin), immunotherapy.'}","{'Balanced Diet': 'Nutrient-rich foods to support overall health.', 'Anti-Cancer Foods': 'Fruits, vegetables, and foods high in antioxidants.'}","{'Early Detection': 'Regular check-ups if at high risk.', 'Manage Risk Factors': 'Healthy lifestyle and regular monitoring.'}","{'Primary Specialist': 'Oncologist or Hematologist.', 'Additional Specialists': 'Radiologist for imaging, Surgeon for biopsy if needed.'}","{'Initial Care': 'Chemotherapy, radiation therapy, or targeted therapy depending on stage.', 'Ongoing Care': 'Regular follow-ups and management of side effects.', 'Hospitalization': 'Required for chemotherapy and severe cases.'}","{'Monitoring': 'Regular imaging studies and health assessments.', 'Additional Tests': 'PET scans, CT scans if needed.'}","{'Cancer Management': 'Understanding treatment options and side effects.', 'Lifestyle Adjustments': 'Importance of a balanced diet and regular exercise.'}",Varies depending on stage and treatment response.
