Disease Name,Severity Level,Symptoms,Recommended Medications,Required Food,Safety Precautions,Recommended Doctor,Treatment Plan,Follow-Up Recommendations,Patient Education,Recovery Time
Hypertension (High Blood Pressure),"{'Mild': 'Often asymptomatic; may cause occasional headaches.', 'Moderate to Severe': 'Can lead to heart disease, stroke, kidney damage.'}","{'Early': 'Typically asymptomatic; possible headaches, dizziness.', 'Progressing': 'Frequent headaches, vision problems, nosebleeds.', 'Severe': 'Chest pain, shortness of breath, organ damage.'}","{'First-Line': ['ACE inhibitors (e.g., Lisinopril)', 'beta-blockers (e.g., Metoprolol)'], 'Alternative': ['Calcium channel blockers (e.g., Amlodipine)', 'diuretics (e.g., Hydrochlorothiazide)']}","['Low-Sodium Diet', 'Fruits and Vegetables']","['Regular Monitoring', 'Lifestyle Changes']","['Primary Care Physician', 'Cardiologist']","{'Initial Care': 'Lifestyle changes, possibly medication.', 'Ongoing Care': 'Regular blood pressure monitoring, medication adjustments.'}","['Regular blood pressure checks', 'Blood tests to monitor organ function']","['Medication Adherence', 'Lifestyle Adjustments']",Chronic Condition: Requires ongoing management to prevent complications.
Diabetes Mellitus,"{'Mild': 'Well-managed with diet and lifestyle changes.', 'Moderate to Severe': 'Requires medication, potential complications.'}","{'Early': 'Increased thirst, frequent urination, fatigue.', 'Progressing': 'Blurred vision, slow wound healing, weight loss.', 'Severe': 'Diabetic ketoacidosis (Type 1), severe infections.'}","{'First-Line': ['Insulin (Type 1)', 'oral hypoglycemics (e.g., Metformin for Type 2)'], 'Alternative': ['GLP-1 receptor agonists (e.g., Liraglutide)', 'SGLT2 inhibitors (e.g., Empagliflozin)']}","['Balanced Diet', 'Hydration']","['Regular Monitoring', 'Foot Care']","['Endocrinologist', 'Primary Care Physician']","{'Initial Care': 'Medication, dietary changes.', 'Ongoing Care': 'Regular blood sugar monitoring, adjustments to treatment.'}","['Blood glucose levels', 'HbA1c tests', 'Kidney function', 'eye exams']","['Diabetes Management', 'Lifestyle Changes']",Chronic Condition: Requires lifelong management to prevent complications.
Heart Disease (Coronary Artery Disease),"{'Mild': 'Stable angina, manageable with lifestyle changes and medication.', 'Moderate to Severe': 'Can lead to heart attacks, severe chest pain.'}","{'Early': 'Chest pain, shortness of breath during exertion.', 'Progressing': 'Increasing frequency of chest pain, difficulty breathing.', 'Severe': 'Heart attack symptoms, severe chest pain, nausea.'}","{'First-Line': ['Statins (e.g., Atorvastatin)', 'antiplatelet agents (e.g., Aspirin)'], 'Alternative': ['Beta-blockers (e.g., Carvedilol)', 'ACE inhibitors']}","['Heart-Healthy Diet', 'Fruits and Vegetables']","['Lifestyle Changes', 'Regular Check-Ups']",['Cardiologist'],"{'Initial Care': 'Medication, lifestyle modifications.', 'Ongoing Care': 'Regular heart health assessments, medication adjustments.'}","['Regular cardiovascular evaluations', 'Stress tests', 'echocardiograms']","['Heart Health', 'Medication Adherence']",Chronic Condition: Requires ongoing management to prevent progression.
Stroke,"{'Mild': 'Transient ischemic attack (TIA) with temporary symptoms.', 'Severe': 'Major stroke with significant neurological deficits.'}","{'Early': 'Sudden numbness, confusion, difficulty speaking.', 'Progressing': 'Severe headache, vision problems, impaired coordination.', 'Severe': 'Paralysis, loss of consciousness, severe neurological deficits.'}","{'First-Line': ['Anticoagulants (e.g., Warfarin)', 'thrombolytics (e.g., tPA)'], 'Alternative': ['Antiplatelet agents (e.g., Clopidogrel)', 'antihypertensives']}","['Balanced Diet', 'Hydration']","['Immediate Medical Attention', 'Stroke Prevention']","['Neurologist', 'Stroke Specialist']","{'Initial Care': 'Acute management in hospital.', 'Ongoing Care': 'Rehabilitation therapy, secondary prevention strategies.'}","['Regular check-ups', 'Imaging studies']","['Stroke Recognition', 'Rehabilitation']","Varies: Depending on stroke severity, recovery can range from months to years."
Chronic Obstructive Pulmonary Disease (COPD),"{'Mild': 'Manageable with medication and lifestyle changes.', 'Severe': 'Persistent symptoms, significant impact on daily life.'}","{'Early': 'Chronic cough, shortness of breath, wheezing.', 'Progressing': 'Increased breathlessness, frequent respiratory infections.', 'Severe': 'Severe breathlessness, daily activities severely affected.'}","{'First-Line': ['Bronchodilators (e.g., Salmeterol)', 'corticosteroids (e.g., Fluticasone)'], 'Alternative': ['Combination inhalers', 'phosphodiesterase-4 inhibitors (e.g., Roflumilast)']}","['Nutrient-Dense Diet', 'Hydration']","['Avoid Smoking', 'Regular Monitoring']",['Pulmonologist'],"{'Initial Care': 'Medication, lifestyle modifications (e.g., quitting smoking).', 'Ongoing Care': 'Regular monitoring, medication adjustments.'}","['Regular pulmonary function tests', 'Chest X-rays', 'CT scans']","['Disease Management', 'Smoking Cessation']",Chronic Condition: Requires lifelong management to control symptoms.
Asthma,"{'Mild': 'Intermittent symptoms, managed with inhalers.', 'Moderate to Severe': 'Frequent symptoms, potential for asthma attacks.'}","{'Early': 'Wheezing, coughing, shortness of breath.', 'Progressing': 'Increased frequency of symptoms, nighttime symptoms.', 'Severe': 'Severe wheezing, difficulty breathing, potential for asthma attacks.'}","{'First-Line': ['Inhaled corticosteroids (e.g., Beclometasone)', 'beta-agonists (e.g., Salbutamol)'], 'Alternative': ['Leukotriene receptor antagonists (e.g., Montelukast)']}","['Balanced Diet', 'Hydration']","['Avoid Triggers', 'Proper Inhaler Use']","['Pulmonologist', 'Allergist']","{'Initial Care': 'Medication, avoidance of triggers.', 'Ongoing Care': 'Regular monitoring and adjustment of treatment.'}","['Regular check-ups', 'Spirometry']","['Asthma Management', 'Emergency Plan']",Chronic Condition: Requires ongoing management to prevent exacerbations.
Osteoporosis,"{'Mild': 'Low bone density, manageable with preventive measures.', 'Moderate to Severe': 'Increased risk of fractures, significant bone loss.'}","{'Early': 'Often asymptomatic; may cause back pain or loss of height.', 'Progressing': 'Frequent fractures, noticeable loss of height.', 'Severe': 'Severe back pain, mobility issues.'}","{'First-Line': ['Bisphosphonates (e.g., Alendronate)', 'hormone replacement therapy'], 'Alternative': ['RANKL inhibitors (e.g., Denosumab)', 'selective estrogen receptor modulators (SERMs)']}","['Calcium-Rich Foods', 'Vitamin D']","['Fall Prevention', 'Bone-Strengthening Exercises']","['Endocrinologist', 'Rheumatologist']","{'Initial Care': 'Medication, dietary changes.', 'Ongoing Care': 'Regular bone density tests, lifestyle modifications.'}","['Regular bone density scans', 'Blood tests']","['Bone Health', 'Fall Prevention']",Chronic Condition: Requires ongoing management to prevent fractures and bone loss.
Fibromyalgia,"{'Mild': 'Manageable with medication and lifestyle adjustments.', 'Moderate to Severe': 'Significant impact on daily functioning, persistent symptoms.'}","{'Early': 'Widespread muscle pain, fatigue, sleep disturbances.', 'Progressing': 'Increased pain, difficulty with daily activities.', 'Severe': 'Chronic pain, severe fatigue, difficulty with cognitive functions.'}","{'First-Line': ['Pain relievers (e.g., Acetaminophen)', 'antidepressants (e.g., Duloxetine)'], 'Alternative': ['Anticonvulsants (e.g., Pregabalin)']}","['Balanced Diet', 'Hydration']","['Pain Management', 'Stress Reduction']","['Rheumatologist', 'Pain Specialist']","{'Initial Care': 'Medication, lifestyle modifications.', 'Ongoing Care': 'Regular adjustments to treatment based on symptom management.'}","['Regular check-ups', 'Diagnostic tests']","['Chronic Pain Management', 'Lifestyle Adjustments']",Chronic Condition: Requires lifelong management to control symptoms.
Multiple Sclerosis (MS),"{'Mild': 'Relapsing forms with occasional symptoms.', 'Moderate to Severe': 'Progressive forms with significant neurological impairment.'}","{'Early': 'Numbness, visual disturbances, difficulty walking.', 'Progressing': 'Muscle weakness, coordination problems, cognitive issues.', 'Severe': 'Significant disability, severe cognitive and physical impairment.'}","{'First-Line': ['Disease-modifying therapies (e.g., Interferon beta, Glatiramer acetate)'], 'Alternative': ['Monoclonal antibodies (e.g., Natalizumab)', 'oral medications (e.g., Fingolimod)']}","['Balanced Diet', 'Hydration']","['Regular Monitoring', 'Symptom Management']",['Neurologist'],"{'Initial Care': 'Disease-modifying therapy, symptom management.', 'Ongoing Care': 'Regular monitoring and adjustment of treatment plans.'}","['Regular neurological assessments', 'MRI']","['Disease Management', 'Rehabilitation']",Chronic Condition: Requires ongoing management to control symptoms and prevent disability.
Irritable Bowel Syndrome (IBS),"{'Mild': 'Manageable with dietary changes and stress management.', 'Moderate to Severe': 'Significant impact on daily life, frequent symptoms.'}","{'Early': 'Abdominal pain, bloating, changes in bowel habits.', 'Progressing': 'Persistent abdominal discomfort, irregular bowel movements.', 'Severe': 'Chronic pain, significant impact on daily activities.'}","{'First-Line': ['Antispasmodics (e.g., Hyoscine)', 'laxatives or anti-diarrheals (depending on symptoms)'], 'Alternative': ['Antidepressants (e.g., Amitriptyline)']}","['Low-FODMAP Diet', 'Hydration']","['Dietary Management', 'Stress Management']",['Gastroenterologist'],"{'Initial Care': 'Dietary changes, medication.', 'Ongoing Care': 'Monitoring symptoms, adjusting treatment as needed.'}","['Regular follow-ups', 'Additional tests if needed']","['Symptom Management', 'Lifestyle Adjustments']",Chronic Condition: Requires ongoing management to control symptoms and improve quality of life.
