Disease Name,Severity Level,Symptoms,Recommended Medications,Required Food,Safety Precautions,Recommended Doctor,Treatment Plan,Follow-Up Recommendations,Patient Education,Recovery Time
Scurvy,Mild to Severe,"{'Early': 'Fatigue, swollen and bleeding gums, joint pain.', 'Progressing': 'Severe gum disease, anemia, and skin issues.', 'Severe': 'Severe anemia, swollen joints, and potential organ damage.'}","{'First-Line': 'Vitamin C supplements.', 'Alternative': 'Increased dietary intake of vitamin C-rich foods.'}","{'Balanced Diet': 'Nutrient-dense foods rich in vitamin C.', 'Specific Foods': 'Citrus fruits, strawberries, and bell peppers.'}","{'Regular Monitoring': 'Evaluation of vitamin C levels.', 'Manage Risk Factors': 'Adequate intake of vitamin C and balanced diet.'}","{'Primary Specialist': 'Nutritionist or dietitian.', 'Additional Specialists': 'General physician for overall health monitoring.'}","{'Initial Care': 'Vitamin C supplementation and dietary modifications.', 'Ongoing Care': 'Monitor vitamin C levels and dietary adherence.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of symptoms and vitamin C levels.', 'Additional Tests': 'Blood tests to evaluate vitamin C status.'}","{'Disease Management': 'Understanding scurvy and the importance of vitamin C.', 'Lifestyle Adjustments': 'Maintaining a balanced diet with adequate vitamin C intake.'}",Improvement typically occurs within a few weeks of treatment.
Rickets,Mild to Severe,"{'Early': 'Bone pain, delayed growth, and muscle weakness.', 'Progressing': 'Deformities such as bowed legs, and enlarged wrists and ankles.', 'Severe': 'Severe bone deformities and developmental delays.'}","{'First-Line': 'Vitamin D, calcium, and phosphorus supplements.', 'Alternative': 'Increased dietary intake of vitamin D and calcium-rich foods.'}","{'Balanced Diet': 'Nutrient-dense foods rich in vitamin D and calcium.', 'Specific Foods': 'Milk, fortified cereals, and fatty fish.'}","{'Regular Monitoring': 'Evaluation of bone health and vitamin D levels.', 'Manage Risk Factors': 'Adequate intake of vitamin D, calcium, and sunlight exposure.'}","{'Primary Specialist': 'Pediatrician or endocrinologist.', 'Additional Specialists': 'Orthopedic surgeon for bone deformities.'}","{'Initial Care': 'Vitamin D and calcium supplementation.', 'Ongoing Care': 'Regular assessments and monitoring of bone health.', 'Hospitalization': 'Not typically required unless there are severe deformities.'}","{'Monitoring': 'Regular evaluations of bone health and vitamin D levels.', 'Additional Tests': 'Bone X-rays and blood tests for calcium and vitamin D status.'}","{'Disease Management': 'Understanding rickets and the importance of vitamin D and calcium.', 'Lifestyle Adjustments': 'Maintaining a balanced diet with adequate vitamin D and calcium intake.'}",Improvement typically occurs with consistent supplementation and dietary changes.
Beriberi,Mild to Severe,"{'Early': 'Fatigue, irritability, and reduced reflexes.', 'Progressing': 'Swelling, numbness in extremities, and difficulty walking.', 'Severe': 'Heart failure, nerve damage, and severe muscle weakness.'}","{'First-Line': 'Thiamine (vitamin B1) supplements.', 'Alternative': 'Increased dietary intake of thiamine-rich foods.'}","{'Balanced Diet': 'Nutrient-dense foods rich in thiamine.', 'Specific Foods': 'Whole grains, legumes, and pork.'}","{'Regular Monitoring': 'Evaluation of thiamine levels and symptoms.', 'Manage Risk Factors': 'Adequate intake of thiamine and balanced diet.'}","{'Primary Specialist': 'Nutritionist or dietitian.', 'Additional Specialists': 'Neurologist for nerve damage.'}","{'Initial Care': 'Thiamine supplementation and dietary modifications.', 'Ongoing Care': 'Monitor thiamine levels and dietary adherence.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of symptoms and thiamine levels.', 'Additional Tests': 'Blood tests to evaluate thiamine status.'}","{'Disease Management': 'Understanding beriberi and the importance of thiamine.', 'Lifestyle Adjustments': 'Maintaining a balanced diet with adequate thiamine intake.'}",Improvement typically occurs within a few weeks of treatment.
Kwashiorkor,Severe,"{'Early': 'Edema, irritability, and poor growth.', 'Progressing': 'Severe protein deficiency, abdominal distension, and skin changes.', 'Severe': 'Potential for life-threatening complications and severe malnutrition.'}","{'First-Line': 'Protein and calorie supplementation.', 'Alternative': 'Dietary modifications to include protein-rich foods.'}","{'Balanced Diet': 'Nutrient-dense foods with adequate protein.', 'Specific Foods': 'Legumes, meat, and dairy products.'}","{'Regular Monitoring': 'Evaluation of nutritional status and growth.', 'Manage Risk Factors': 'Adequate intake of protein and balanced diet.'}","{'Primary Specialist': 'Pediatrician or nutritionist.', 'Additional Specialists': 'Healthcare providers for severe malnutrition.'}","{'Initial Care': 'Protein and calorie supplementation and dietary changes.', 'Ongoing Care': 'Regular monitoring of growth and nutritional status.', 'Hospitalization': 'Required for severe cases with significant malnutrition.'}","{'Monitoring': 'Regular assessments of nutritional status and growth.', 'Additional Tests': 'Blood tests to evaluate protein levels and overall health.'}","{'Disease Management': 'Understanding kwashiorkor and the importance of protein.', 'Lifestyle Adjustments': 'Ensuring adequate protein intake and balanced diet.'}",Improvement with appropriate treatment and dietary changes.
Marasmus,Severe,"{'Early': 'Severe weight loss, muscle wasting, and general weakness.', 'Progressing': 'Prolonged malnutrition leading to severe wasting and stunted growth.', 'Severe': 'Critical malnutrition with potential life-threatening complications.'}","{'First-Line': 'Calorie and protein supplementation.', 'Alternative': 'Nutritional rehabilitation with high-calorie foods.'}","{'Balanced Diet': 'High-calorie, nutrient-dense foods.', 'Specific Foods': 'Energy-dense foods such as peanut butter and fortified cereals.'}","{'Regular Monitoring': 'Evaluation of nutritional status and growth.', 'Manage Risk Factors': 'Adequate calorie and protein intake.'}","{'Primary Specialist': 'Pediatrician or nutritionist.', 'Additional Specialists': 'Healthcare providers for severe malnutrition.'}","{'Initial Care': 'High-calorie and protein supplementation and dietary changes.', 'Ongoing Care': 'Regular monitoring of growth and nutritional status.', 'Hospitalization': 'Required for severe cases with critical malnutrition.'}","{'Monitoring': 'Regular assessments of nutritional status and growth.', 'Additional Tests': 'Blood tests to evaluate overall health and nutritional status.'}","{'Disease Management': 'Understanding marasmus and the importance of calorie intake.', 'Lifestyle Adjustments': 'Ensuring adequate calorie and protein intake and balanced diet.'}",Improvement with appropriate treatment and nutritional support.
Pellagra,Mild to Severe,"{'Early': 'Skin rash, diarrhea, and mental confusion.', 'Progressing': 'Worsening of skin rash, severe gastrointestinal symptoms, and neurological changes.', 'Severe': 'Severe skin lesions, persistent gastrointestinal issues, and mental disturbances.'}","{'First-Line': 'Niacin (vitamin B3) supplements.', 'Alternative': 'Increased dietary intake of niacin-rich foods.'}","{'Balanced Diet': 'Nutrient-dense foods rich in niacin.', 'Specific Foods': 'Meat, fish, and whole grains.'}","{'Regular Monitoring': 'Evaluation of niacin levels and symptoms.', 'Manage Risk Factors': 'Adequate intake of niacin and balanced diet.'}","{'Primary Specialist': 'Nutritionist or dietitian.', 'Additional Specialists': 'General physician for overall health monitoring.'}","{'Initial Care': 'Niacin supplementation and dietary modifications.', 'Ongoing Care': 'Monitor niacin levels and dietary adherence.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of symptoms and niacin levels.', 'Additional Tests': 'Blood tests to evaluate niacin status.'}","{'Disease Management': 'Understanding pellagra and the importance of niacin.', 'Lifestyle Adjustments': 'Maintaining a balanced diet with adequate niacin intake.'}",Improvement typically occurs within a few weeks of treatment.
Iron Deficiency Anemia,Mild to Severe,"{'Early': 'Fatigue, pallor, and shortness of breath.', 'Progressing': 'Worsening fatigue, dizziness, and potential for heart problems.', 'Severe': 'Severe fatigue, weakness, and potential for complications like heart failure.'}","{'First-Line': 'Iron supplements.', 'Alternative': 'Increased dietary intake of iron-rich foods.'}","{'Balanced Diet': 'Iron-rich, nutrient-dense foods.', 'Specific Foods': 'Red meat, beans, and fortified cereals.'}","{'Regular Monitoring': 'Evaluation of iron levels and symptoms.', 'Manage Risk Factors': 'Adequate intake of iron and vitamin C for better absorption.'}","{'Primary Specialist': 'Hematologist or general physician.', 'Additional Specialists': 'Nutritionist for dietary guidance.'}","{'Initial Care': 'Iron supplementation and dietary changes.', 'Ongoing Care': 'Regular monitoring of iron levels and adherence to treatment.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of iron levels and symptoms.', 'Additional Tests': 'Blood tests to evaluate iron status.'}","{'Disease Management': 'Understanding iron deficiency anemia and the importance of iron.', 'Lifestyle Adjustments': 'Maintaining a balanced diet with adequate iron intake.'}",Improvement typically occurs within a few months of treatment.
Vitamin D Deficiency,Mild to Severe,"{'Early': 'Bone pain, muscle weakness, and fatigue.', 'Progressing': 'Severe bone pain, muscle weakness, and increased risk of fractures.', 'Severe': 'Significant bone deformities, severe muscle weakness, and increased risk of fractures.'}","{'First-Line': 'Vitamin D supplements.', 'Alternative': 'Increased dietary intake of vitamin D-rich foods and sunlight exposure.'}","{'Balanced Diet': 'Nutrient-dense foods rich in vitamin D.', 'Specific Foods': 'Fatty fish, fortified dairy products, and egg yolks.'}","{'Regular Monitoring': 'Evaluation of vitamin D levels and bone health.', 'Manage Risk Factors': 'Adequate intake of vitamin D and exposure to sunlight.'}","{'Primary Specialist': 'Endocrinologist or nutritionist.', 'Additional Specialists': 'Orthopedic specialist for bone health.'}","{'Initial Care': 'Vitamin D supplementation and dietary modifications.', 'Ongoing Care': 'Regular assessments and monitoring of vitamin D levels.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of vitamin D levels and bone health.', 'Additional Tests': 'Blood tests to evaluate vitamin D status and bone density.'}","{'Disease Management': 'Understanding vitamin D deficiency and its implications.', 'Lifestyle Adjustments': 'Ensuring adequate vitamin D intake and sunlight exposure.'}",Improvement typically occurs within a few weeks to months of treatment.
Hypervitaminosis A,Mild to Severe,"{'Early': 'Nausea, headache, and dizziness.', 'Progressing': 'Skin peeling, joint pain, and abdominal pain.', 'Severe': 'Severe liver damage, intracranial pressure increase, and potential for organ damage.'}","{'First-Line': 'Discontinue vitamin A supplementation and supportive care.', 'Alternative': 'Treatment based on severity and symptoms.'}","{'Balanced Diet': 'Avoid excessive vitamin A intake.', 'Specific Foods': 'Monitor intake of vitamin A-rich foods like liver and supplements.'}","{'Regular Monitoring': 'Evaluation of vitamin A levels and liver function.', 'Manage Risk Factors': 'Avoid excessive vitamin A intake and regular health monitoring.'}","{'Primary Specialist': 'Toxicologist or general physician.', 'Additional Specialists': 'Hepatologist for liver-related issues.'}","{'Initial Care': 'Discontinue vitamin A supplementation and manage symptoms.', 'Ongoing Care': 'Regular assessments of liver function and health status.', 'Hospitalization': 'Required for severe cases with significant complications.'}","{'Monitoring': 'Regular evaluations of vitamin A levels and liver function.', 'Additional Tests': 'Blood tests and imaging studies for liver health.'}","{'Disease Management': 'Understanding hypervitaminosis A and its risks.', 'Lifestyle Adjustments': 'Avoiding excessive intake of vitamin A and monitoring health.'}",Improvement typically occurs with discontinuation of vitamin A intake and supportive care.
Hypovitaminosis D,Mild to Severe,"{'Early': 'Fatigue, bone pain, and muscle weakness.', 'Progressing': 'Increased bone pain, muscle weakness, and potential for fractures.', 'Severe': 'Severe bone deformities, increased risk of fractures, and muscle wasting.'}","{'First-Line': 'Vitamin D supplements.', 'Alternative': 'Increased dietary intake of vitamin D-rich foods and sunlight exposure.'}","{'Balanced Diet': 'Nutrient-dense foods rich in vitamin D.', 'Specific Foods': 'Fatty fish, fortified dairy products, and egg yolks.'}","{'Regular Monitoring': 'Evaluation of vitamin D levels and bone health.', 'Manage Risk Factors': 'Adequate intake of vitamin D and exposure to sunlight.'}","{'Primary Specialist': 'Endocrinologist or nutritionist.', 'Additional Specialists': 'Orthopedic specialist for bone health.'}","{'Initial Care': 'Vitamin D supplementation and dietary modifications.', 'Ongoing Care': 'Regular assessments and monitoring of vitamin D levels.', 'Hospitalization': 'Not typically required unless there are severe complications.'}","{'Monitoring': 'Regular assessments of vitamin D levels and bone health.', 'Additional Tests': 'Blood tests to evaluate vitamin D status and bone density.'}","{'Disease Management': 'Understanding hypovitaminosis D and its implications.', 'Lifestyle Adjustments': 'Ensuring adequate vitamin D intake and sunlight exposure.'}",Improvement typically occurs within a few weeks to months of treatment.
