Disease Name,Severity Level,Symptoms,Recommended Medications,Required Food,Safety Precautions,Recommended Doctor,Treatment Plan,Follow-Up Recommendations,Patient Education,Recovery Time
Tuberculosis (TB),"{'Mild to Moderate': 'Treatable with antibiotics; symptoms include a persistent cough and mild respiratory issues.', 'Severe': 'Advanced TB can cause significant lung damage or spread to other organs, potentially leading to respiratory failure or multi-drug-resistant TB.'}","{'Early': 'Persistent cough lasting more than three weeks, weight loss, night sweats, fever, and fatigue.', 'Progressing': 'Worsening cough, coughing up blood or sputum, chest pain, and severe night sweats.', 'Severe': 'Respiratory distress, potential spread to other organs (e.g., bones, kidneys), and multi-organ failure in extreme cases.'}","{'First-line': 'Isoniazid, Rifampin, Ethambutol, and Pyrazinamide.', 'Alternative': 'Second-line drugs like Streptomycin or Amikacin for drug-resistant TB.'}","{'Anti-inflammatory Foods': 'High-protein foods such as lean meats, dairy, legumes, and nuts.', 'Vitamins and Minerals': 'Fruits and vegetables rich in vitamins B and C.', 'Hydration': 'Adequate fluid intake to maintain hydration and help with mucus clearance.'}","{'Vaccination': 'BCG vaccine recommended in high-risk areas.', 'Hygiene': 'Proper respiratory hygiene including covering mouth and nose while coughing, using masks if necessary, and regular hand washing.'}","{'Primary Specialist': 'Pulmonologist.', 'Additional Specialists': 'Infectious Disease Specialist for drug-resistant strains or complex cases.'}","{'Antibiotic Therapy': 'Combination of first-line antibiotics for 6-9 months.', 'Symptom Management': 'Regular monitoring of drug efficacy, side effects, and adherence.', 'Hospitalization': 'For severe cases with respiratory distress or multi-drug-resistant TB.'}","{'Symptom Monitoring': 'Routine sputum tests and chest X-rays.', 'Physical Therapy': 'Monitoring liver function tests to detect any drug-induced hepatitis.'}","{'Tick Prevention': 'Emphasize the need for adherence to the medication regimen.', 'Early Signs': 'Educate about signs of worsening condition or potential side effects.'}",6 to 9 months of treatment; may be longer if drug-resistant strains or complications occur.
Chickenpox,"{'Mild to Moderate': 'Usually self-limiting with symptomatic treatment.', 'Severe': 'May require antiviral treatment in severe cases, particularly in adults or immunocompromised individuals.'}","{'Early': 'Fever, headache, fatigue, and loss of appetite.', 'Progressing': 'Itchy rash starting on the torso and face, spreading to limbs, evolving from red spots to fluid-filled blisters, and finally scabs.', 'Severe': 'Secondary bacterial infections of the skin, pneumonia, or encephalitis in rare, severe cases.'}","{'First-line': 'Acyclovir for severe cases or high-risk individuals.', 'Alternative': 'Antihistamines for itching and pain relievers like acetaminophen for fever.'}","{'Anti-inflammatory Foods': 'High-protein foods such as lean meats, dairy, and legumes.', 'Vitamins and Minerals': 'Foods rich in vitamins A and C.', 'Hydration': 'Increase fluid intake to prevent dehydration, especially if fever is present.'}","{'Vaccination': 'Varicella vaccine to prevent chickenpox and its complications.', 'Hygiene': 'Avoid scratching to prevent secondary infections and maintain good hygiene to prevent spreading the virus.'}","{'Primary Specialist': 'Pediatrician or family physician.', 'Additional Specialists': 'Dermatologist if there are severe skin complications.'}","{'Antibiotic Therapy': 'Symptomatic treatment including hydration, fever control, and management of itching.', 'Symptom Management': 'Monitoring for secondary infections or complications.', 'Hospitalization': 'Rarely required except in severe cases or for complications like pneumonia.'}","{'Symptom Monitoring': 'Monitoring for signs of secondary bacterial infections or complications.', 'Physical Therapy': 'Not typically needed unless complications arise.'}","{'Tick Prevention': 'Stress the need for vaccination and preventive measures to avoid spreading the virus.', 'Early Signs': 'Recognizing early symptoms and seeking prompt treatment.'}",1 to 2 weeks; longer if complications develop.
Hepatitis B,"{'Mild to Moderate': 'Acute cases often resolve with supportive care and antiviral medications.', 'Severe': 'Chronic infections can lead to complications like cirrhosis, liver cancer, and liver failure.'}","{'Early': 'Fatigue, abdominal pain, loss of appetite, nausea, and jaundice.', 'Progressing': 'Chronic fatigue, jaundice, dark urine, and light-colored stools.', 'Severe': 'Ascites, hepatic encephalopathy, and liver cancer.'}","{'First-line': 'Antiviral drugs like Tenofovir or Entecavir for chronic Hepatitis B.', 'Alternative': 'Interferon-alpha for certain cases or when antiviral drugs are not effective.'}","{'Anti-inflammatory Foods': 'High-protein foods such as lean meats, legumes, and tofu.', 'Vitamins and Minerals': 'Nutrient-rich foods, particularly those high in vitamins B and C.', 'Hydration': 'Adequate fluids to support liver function.'}","{'Vaccination': 'Hepatitis B vaccine for prevention, especially for high-risk groups.', 'Hygiene': 'Avoid sharing needles or personal items that may be contaminated with blood.'}","{'Primary Specialist': 'Hepatologist for chronic Hepatitis B.', 'Additional Specialists': 'Gastroenterologist and oncologist if liver cancer develops.'}","{'Antibiotic Therapy': 'Initiate antiviral therapy based on the severity and stage of infection.', 'Symptom Management': 'Regular follow-ups to monitor liver function, viral load, and response to treatment.', 'Hospitalization': 'Required for severe liver complications or advanced disease.'}","{'Symptom Monitoring': 'Frequent liver function tests and viral load assessments.', 'Physical Therapy': 'Liver ultrasound or biopsy to evaluate liver damage.'}","{'Tick Prevention': 'Adherence to antiviral medication and preventive measures.', 'Early Signs': 'Symptoms of liver failure or cancer and the importance of regular check-ups.'}",Acute cases may resolve in a few months; chronic cases require lifelong management.
Whooping Cough (Pertussis),"{'Mild to Moderate': 'Often mild in vaccinated individuals but more severe in infants and those with weakened immune systems.', 'Severe': 'Can cause severe respiratory distress, particularly in infants.'}","{'Early': 'Mild cough, runny nose, and low-grade fever.', 'Progressing': ""Severe coughing fits followed by a 'whooping' sound, vomiting, and exhaustion."", 'Severe': 'Complications such as pneumonia, seizures, and apnea in infants.'}","{'First-line': 'Antibiotics like Azithromycin, Clarithromycin, or Erythromycin.', 'Alternative': 'Supportive care including oxygen therapy and intravenous fluids for severe cases.'}","{'Anti-inflammatory Foods': 'Light, easily digestible foods such as soups, yogurt, and soft fruits.', 'Vitamins and Minerals': 'Nutrient-rich foods to support immune function.', 'Hydration': 'Frequent small sips of water or electrolyte solutions.'}","{'Vaccination': 'DTaP or Tdap vaccine is the most effective prevention.', 'Hygiene': 'Good respiratory hygiene, including covering the mouth and nose when coughing.'}","{'Primary Specialist': 'Pediatrician or family physician.', 'Additional Specialists': 'Pulmonologist for severe respiratory complications.'}","{'Antibiotic Therapy': 'Antibiotic treatment to reduce the severity and spread of the disease.', 'Symptom Management': 'Supportive care including monitoring for complications.', 'Hospitalization': 'May be required for severe cases, especially in infants.'}","{'Symptom Monitoring': 'Close monitoring during the recovery phase, particularly in young children.', 'Physical Therapy': 'Not typically needed unless complications arise.'}","{'Tick Prevention': 'Vaccination is key, especially for infants and those in contact with infants.', 'Early Signs': 'Recognition of early symptoms for prompt treatment.'}",3 to 6 weeks; longer if complications develop.
Dengue Fever,"{'Mild to Moderate': 'Most cases are mild and can be managed with supportive care.', 'Severe': 'Severe dengue (dengue hemorrhagic fever) can cause shock, bleeding, and organ damage, requiring hospitalization.'}","{'Early': 'High fever, severe headache, pain behind the eyes, and joint and muscle pain.', 'Progressing': 'Nausea, vomiting, rash, and mild bleeding (e.g., nosebleeds, gum bleeding).', 'Severe': 'Severe abdominal pain, persistent vomiting, bleeding, and difficulty breathing.'}","{'First-line': 'Pain relievers like acetaminophen for fever and pain relief.', 'Alternative': 'Avoid NSAIDs like ibuprofen as they can increase the risk of bleeding.'}","{'Anti-inflammatory Foods': 'Fruits rich in vitamin C and foods high in protein.', 'Vitamins and Minerals': 'Foods rich in iron and vitamin B12 to support recovery.', 'Hydration': 'Oral rehydration salts (ORS) and plenty of fluids to prevent dehydration.'}","{'Mosquito Control': 'Use insect repellent, mosquito nets, and wear long sleeves to avoid mosquito bites.', 'Environment Control': 'Eliminate standing water where mosquitoes breed.'}","{'Primary Specialist': 'Infectious Disease Specialist or family physician.', 'Additional Specialists': 'Hematologist if there are severe bleeding complications.'}","{'Antibiotic Therapy': 'No specific antiviral treatment; focus on supportive care.', 'Symptom Management': 'Monitoring for signs of severe dengue and early intervention.', 'Hospitalization': 'Required for severe cases with hemorrhagic symptoms or shock.'}","{'Symptom Monitoring': 'Regular follow-ups to monitor platelet counts and recovery.', 'Physical Therapy': 'Not typically needed unless complications arise.'}","{'Tick Prevention': 'Mosquito prevention strategies and recognizing early signs of severe dengue.', 'Early Signs': 'Education on warning signs of severe dengue and when to seek emergency care.'}",2 to 4 weeks; recovery may take longer if severe symptoms develop.
Malaria,"{'Mild to Moderate': 'Can be treated effectively with antimalarial drugs if caught early.', 'Severe': 'Severe malaria can cause organ failure, severe anemia, and death if untreated.'}","{'Early': 'Fever, chills, sweating, headache, nausea, and vomiting.', 'Progressing': 'Anemia, muscle pain, and diarrhea.', 'Severe': 'Cerebral malaria (seizures, coma), severe anemia, respiratory distress, and multi-organ failure.'}","{'First-line': 'Antimalarial drugs such as Artemisinin-based combination therapies (ACTs).', 'Alternative': 'Chloroquine in regions where the parasite is still sensitive.'}","{'Anti-inflammatory Foods': 'Easily digestible, nutrient-rich foods to support recovery.', 'Vitamins and Minerals': 'Iron-rich foods to combat anemia, along with plenty of fluids.', 'Hydration': 'Increased fluid intake to help with dehydration and fever management.'}","{'Mosquito Control': 'Use insect repellent, sleep under mosquito nets, and wear protective clothing.', 'Prophylactic Medication': 'Antimalarial prophylaxis when traveling to high-risk areas.'}","{'Primary Specialist': 'Infectious Disease Specialist or family physician.', 'Additional Specialists': 'Hematologist for managing severe anemia or related complications.'}","{'Antibiotic Therapy': 'Prompt treatment with antimalarials based on the type and severity of malaria.', 'Symptom Management': 'Management of fever, anemia, and other complications.', 'Hospitalization': 'Required for severe cases with complications like cerebral malaria.'}","{'Symptom Monitoring': 'Regular follow-ups to monitor recovery and prevent recurrence.', 'Physical Therapy': 'Blood tests to monitor hemoglobin levels and parasite clearance.'}","{'Tick Prevention': 'Importance of completing the full course of treatment and preventing mosquito bites.', 'Early Signs': 'Recognizing symptoms early, especially after travel to endemic areas.'}",2 to 4 weeks; severe cases may take longer to recover.
Meningitis,"{'Mild to Moderate': 'Viral meningitis is usually less severe and resolves with supportive care.', 'Severe': 'Bacterial meningitis can be life-threatening and requires immediate antibiotic treatment.'}","{'Early': 'Sudden high fever, severe headache, stiff neck, nausea, and vomiting.', 'Progressing': 'Sensitivity to light, confusion, and seizures.', 'Severe': 'Coma, brain damage, and death if untreated.'}","{'First-line': 'Broad-spectrum antibiotics for bacterial meningitis (e.g., Ceftriaxone, Vancomycin).', 'Alternative': 'Antiviral drugs for viral meningitis if indicated.'}","{'Anti-inflammatory Foods': 'Nutrient-rich, easily digestible foods to support recovery.', 'Vitamins and Minerals': 'Foods high in vitamins C and D to boost the immune system.', 'Hydration': 'Plenty of fluids to help with fever and dehydration.'}","{'Vaccination': 'Meningococcal, pneumococcal, and Hib vaccines to prevent bacterial meningitis.', 'Hygiene': 'Good hand hygiene and avoiding close contact with infected individuals.'}","{'Primary Specialist': 'Neurologist or Infectious Disease Specialist.', 'Additional Specialists': 'Intensivist for managing severe cases in the ICU.'}","{'Antibiotic Therapy': 'Immediate initiation of antibiotics for bacterial meningitis.', 'Symptom Management': 'Supportive care for symptoms like seizures and fever.', 'Hospitalization': 'Typically required for monitoring and managing complications.'}","{'Symptom Monitoring': 'Close monitoring for any neurological sequelae or complications.', 'Physical Therapy': 'Hearing tests and cognitive assessments as part of follow-up care.'}","{'Tick Prevention': 'Importance of vaccination and recognizing symptoms early.', 'Early Signs': 'Understanding the critical nature of early treatment.'}",2 to 4 weeks for recovery; some cases may have long-term neurological effects.
Cholera,"{'Mild to Moderate': 'Mild cases can be managed with oral rehydration salts (ORS) and supportive care.', 'Severe': 'Severe cases can cause rapid dehydration, shock, and death without prompt treatment.'}","{'Early': 'Sudden onset of watery diarrhea, nausea, and vomiting.', 'Progressing': 'Rapid dehydration, muscle cramps, and lethargy.', 'Severe': 'Severe dehydration, shock, and death if untreated.'}","{'First-line': 'Oral rehydration salts (ORS) for mild cases.', 'Alternative': 'Intravenous fluids and antibiotics like Doxycycline or Azithromycin for severe cases.'}","{'Anti-inflammatory Foods': 'Easily digestible, bland foods such as rice, bananas, and broth.', 'Vitamins and Minerals': 'Zinc supplements to reduce the duration and severity of diarrhea.', 'Hydration': 'Increased fluid intake with ORS to prevent dehydration.'}","{'Hygiene': 'Ensuring access to clean water and proper sanitation.', 'Vaccination': 'Cholera vaccine in high-risk areas or during outbreaks.'}","{'Primary Specialist': 'Infectious Disease Specialist or Gastroenterologist.', 'Additional Specialists': 'Critical Care Specialist for severe dehydration management.'}","{'Antibiotic Therapy': 'Antibiotics for severe cases or when recommended by a healthcare provider.', 'Symptom Management': 'Aggressive rehydration therapy and monitoring.', 'Hospitalization': 'Required for severe cases with rapid dehydration.'}","{'Symptom Monitoring': 'Monitoring hydration status and electrolyte balance during recovery.', 'Physical Therapy': 'Not typically needed unless complications arise.'}","{'Tick Prevention': 'Importance of clean water and good hygiene practices.', 'Early Signs': 'Recognizing early signs of dehydration and seeking prompt treatment.'}",1 to 2 weeks with proper treatment and rehydration.
Tuberculosis (TB),"{'Mild to Moderate': 'Latent TB infection, where bacteria remain inactive and non-contagious.', 'Severe': 'Active TB disease, which can cause severe lung damage and spread to other organs.'}","{'Early': 'Persistent cough lasting more than 3 weeks, chest pain, and coughing up blood or sputum.', 'Progressing': 'Unintentional weight loss, fatigue, fever, night sweats, and loss of appetite.', 'Severe': 'Difficulty breathing, severe chest pain, and systemic involvement (e.g., spine, kidneys).'}","{'First-line': 'Isoniazid, Rifampin, Ethambutol, and Pyrazinamide.', 'Alternative': 'Second-line drugs for multi-drug resistant TB, such as fluoroquinolones and injectable medications.'}","{'High-Protein Foods': 'Lean meats, eggs, and dairy to support immune function.', 'Vitamins and Minerals': 'Vitamin D, B-complex, and zinc-rich foods to boost immunity.', 'Hydration': 'Plenty of fluids to support overall health and recovery.'}","{'Vaccination': 'BCG vaccine in high-risk areas or for infants.', 'Infection Control': 'Isolation of active TB cases and wearing masks to prevent transmission.'}","{'Primary Specialist': 'Pulmonologist or Infectious Disease Specialist.', 'Additional Specialists': 'Radiologist for imaging studies, and a pharmacist for managing drug interactions.'}","{'Antibiotic Therapy': '6-9 months of combination antibiotic therapy to eradicate TB bacteria.', 'Symptom Management': 'Supportive care for cough and pain relief.', 'Hospitalization': 'May be required for severe cases or drug-resistant TB.'}","{'Symptom Monitoring': 'Regular follow-ups to monitor treatment progress and side effects.', 'Physical Therapy': 'Lung function tests and imaging studies to assess recovery.'}","{'Prevention': 'Adherence to treatment to prevent the spread of TB.', 'Early Signs': 'Importance of recognizing symptoms and seeking prompt treatment.'}","6 months to 1 year, depending on the severity and type of TB."
Hepatitis B,"{'Mild to Moderate': 'Acute infection may be asymptomatic or mild, resolving within 6 months.', 'Severe': 'Chronic infection can lead to liver cirrhosis, liver cancer, and liver failure.'}","{'Early': 'Fever, fatigue, loss of appetite, nausea, vomiting, and jaundice (yellowing of the skin and eyes).', 'Progressing': 'Dark urine, clay-colored stools, abdominal pain, and joint pain.', 'Severe': 'Chronic liver disease, cirrhosis, and liver cancer.'}","{'First-line': 'Antiviral drugs such as Tenofovir, Entecavir, and Lamivudine.', 'Alternative': 'Interferon therapy for some cases of chronic hepatitis B.'}","{'Liver-Friendly Foods': 'Leafy greens, beets, and citrus fruits to support liver health.', 'Vitamins and Minerals': 'Vitamin E and C-rich foods to combat liver inflammation.', 'Hydration': 'Plenty of water to support liver function and flush out toxins.'}","{'Vaccination': 'Hepatitis B vaccine for all infants and high-risk adults.', 'Hygiene': 'Avoid sharing needles, razors, and other personal items that may be contaminated.'}","{'Primary Specialist': 'Hepatologist or Gastroenterologist.', 'Additional Specialists': 'Infectious Disease Specialist for managing chronic cases.'}","{'Antiviral Therapy': 'Long-term antiviral treatment for chronic hepatitis B to suppress the virus.', 'Symptom Management': 'Monitoring liver function and managing symptoms of liver disease.', 'Hospitalization': 'Required for severe liver disease or complications like liver failure.'}","{'Symptom Monitoring': 'Regular liver function tests and imaging studies.', 'Physical Therapy': 'Not typically needed unless liver disease progresses to cirrhosis.'}","{'Prevention': 'Importance of vaccination and safe practices to avoid transmission.', 'Early Signs': 'Recognizing symptoms and seeking early treatment to prevent complications.'}",6 months for acute hepatitis B; chronic cases require ongoing management.
